0.020,2.673
0.000,0.308
0.000,0.086
0.000,0.000
0.005,0.018
0.005,0.010
0.010,0.000
0.015,0.020
0.010,0.000
0.005,0.000
0.000,0.013
0.030,0.005
0.005,0.000
0.104,0.013
0.010,0.015
0.000,0.000
0.005,0.000
0.066,0.010
0.000,0.000
0.157,0.005
0.222,0.015
0.583,0.025
0.162,0.000
0.220,0.023
0.616,0.051
0.247,0.027
0.384,0.005
0.547,0.081
0.439,0.025
0.657,0.076
1.534,0.103
1.110,0.083
0.988,0.057
1.416,0.072
1.369,0.063
1.221,0.068
2.139,0.104
1.167,0.118
1.759,0.140
1.888,0.102
1.504,0.110
1.772,0.161
2.097,0.136
1.528,0.155
1.835,0.174
2.209,0.167
2.224,0.187
1.661,0.165
2.070,0.237
2.031,0.158
1.843,0.216
1.651,0.196
1.532,0.189
2.718,0.210
2.656,0.323
2.143,0.223
2.570,0.318
2.660,0.272
2.045,0.190
2.429,0.312
2.140,0.251
2.007,0.268
1.862,0.287
2.098,0.327
2.351,0.375
2.659,0.277
2.122,0.286
2.396,0.298
2.580,0.352
2.858,0.452
2.437,0.412
2.282,0.227
1.935,0.270
2.568,0.330
1.980,0.332
3.171,0.361
2.210,0.279
2.066,0.357
2.370,0.449
2.582,0.397
2.300,0.313
2.540,0.470
2.369,0.517
2.085,0.449
2.171,0.462
2.357,0.510
1.870,0.570
2.061,0.377
2.261,0.388
2.456,0.506
2.795,0.495
2.096,0.504
2.256,0.532
2.495,0.558
1.977,0.456
3.384,0.725
2.719,0.496
2.372,0.484
2.715,0.708
2.473,0.761
3.085,0.669
2.200,0.427
2.432,0.627
2.645,0.715
2.138,0.556
2.354,0.676
2.141,0.690
2.223,0.740
2.427,0.434
2.745,0.701
1.849,0.619
2.583,0.780
2.482,0.584
2.763,0.575
2.039,0.603
1.677,0.561
2.784,0.862
2.889,0.786
2.398,0.845
1.981,0.723
2.423,0.892
2.536,0.811
2.439,0.636
1.648,0.737
3.066,0.882
2.547,0.832
1.899,0.958
2.441,0.874
2.804,0.745
1.814,0.518
1.879,0.738
2.230,0.872
2.251,0.845
2.339,0.754
2.526,0.857
2.769,0.854
2.102,0.845
1.727,0.682
2.550,0.881
3.004,0.994
2.135,0.654
2.396,0.911
1.732,0.857
1.764,1.093
2.804,1.056
2.744,1.094
2.398,0.816
2.482,0.934
2.372,0.884
2.315,0.957
2.407,1.114
2.210,0.791
1.926,0.929
2.428,0.920
2.209,0.923
2.795,1.194
2.345,0.947
2.842,0.998
2.522,1.206
2.888,1.059
2.262,0.889
2.937,1.159
2.535,1.063
2.284,1.329
