# A, B, C, D, E
3.088,0.949,-2.381,-2.563,-2.913
2.168,0.645,-1.555,-2.008,-2.782
2.488,0.845,-2.087,-2.730,-2.974
1.783,0.845,-2.179,-2.576,-2.884
1.840,1.161,-2.939,-2.198,-2.502
2.773,1.045,-2.418,-2.782,-2.731
2.759,1.046,-2.531,-2.763,-2.564
2.508,0.992,-2.428,-2.552,-2.796
2.209,0.874,-2.052,-2.588,-2.394
2.218,0.864,-2.083,-2.303,-2.640
2.244,0.980,-2.281,-2.533,-2.714
2.368,1.117,-2.641,-2.484,-2.933
1.994,0.831,-1.656,-2.885,-2.809
1.932,0.817,-1.880,-2.192,-2.865
2.505,0.909,-2.013,-2.900,-2.171
2.063,0.910,-2.053,-2.311,-2.789
2.647,0.956,-2.217,-2.029,-2.773
2.394,0.914,-1.798,-2.851,-3.277
2.663,0.926,-1.846,-2.748,-3.307
2.207,1.166,-2.582,-2.482,-2.989
2.793,1.067,-2.323,-2.463,-3.115
2.342,0.891,-1.840,-2.735,-2.516
2.908,1.081,-2.176,-2.598,-3.206
2.628,1.090,-2.320,-1.778,-3.102
2.331,1.263,-2.682,-2.686,-3.197
2.185,1.205,-2.558,-2.416,-3.370
1.891,1.133,-2.140,-2.763,-2.579
2.246,0.955,-1.842,-2.329,-2.477
2.403,1.085,-2.064,-2.237,-3.271
2.032,0.870,-1.621,-2.284,-2.670
2.515,0.864,-1.597,-2.454,-3.014
1.992,0.906,-1.733,-2.250,-2.653
2.281,1.331,-2.599,-2.410,-2.961
2.532,1.062,-2.036,-2.487,-2.824
3.165,1.228,-2.483,-2.571,-3.048
2.961,1.246,-2.477,-2.385,-3.131
2.215,0.858,-1.437,-2.204,-3.102
2.689,1.282,-2.529,-2.071,-3.213
2.607,1.472,-2.828,-2.340,-2.972
2.224,1.194,-2.031,-2.573,-2.972
2.456,0.967,-1.702,-2.016,-2.525
2.113,1.207,-2.120,-2.458,-2.812
2.155,1.151,-1.914,-2.231,-2.804
2.787,0.999,-1.479,-2.677,-3.059
2.272,1.103,-1.763,-2.678,-2.895
2.431,1.323,-2.187,-2.954,-3.261
2.660,1.173,-2.071,-2.282,-2.624
2.526,1.153,-1.828,-2.687,-2.698
