# A, B, C, D, E
8.195472868047590631e-13,5.231547063988211956e-09,1.621939016051271638e-09,3.235063821178511569e-10,2.218799055587025662e-11
7.779416029473204853e-13,5.218305857648233400e-09,1.630366233469955651e-09,3.278744943782998319e-10,2.267547290056288688e-11
7.384886394546652870e-13,5.205096839501630848e-09,1.638734091972021542e-09,3.322610688494045460e-10,2.316951103750158498e-11
7.010739628204287120e-13,5.191920039166771631e-09,1.647042854111649931e-09,3.366659003549543394e-10,2.367013240380412892e-11
6.655894503946118829e-13,5.178775479863430314e-09,1.655292781740601376e-09,3.410887848175737152e-10,2.417736412798276507e-11
6.319329255404510412e-13,5.165663178795103311e-09,1.663484135992799587e-09,3.455295192551039306e-10,2.469123303146489240e-11
6.000078150996994530e-13,5.152583147507977140e-09,1.671617177270022855e-09,3.499879017766843846e-10,2.521176563018844194e-11
5.697228277164602581e-13,5.139535392228083933e-09,1.679692165228622221e-09,3.544637315790948247e-10,2.573898813649124769e-11
5.409916516698286982e-13,5.126519914178009045e-09,1.687709358767174564e-09,3.589568089426765711e-10,2.627292646043767959e-11
5.137326709584275383e-13,5.113536709874523039e-09,1.695669016014966177e-09,3.634669352277523759e-10,2.681360621181693412e-11
4.878686984659587957e-13,5.100585771408296953e-09,1.703571394321505363e-09,3.679939128704267752e-10,2.736105270130896159e-11
4.633267251167401387e-13,5.087667086706893616e-09,1.711416750246599362e-09,3.725375453787163830e-10,2.791529094267482740e-11
4.400376840042529817e-13,5.074780639782051643e-09,1.719205339551370555e-09,3.770976373286702593e-10,2.847634565390947877e-11
4.179362285444874800e-13,5.061926410962287792e-09,1.726937417189823357e-09,3.816739943602818800e-10,2.904424125908345909e-11
3.969605237696737076e-13,5.049104377111728427e-09,1.734613237301147092e-09,3.862664231734534260e-10,2.961900188989801072e-11
3.770520499372663637e-13,5.036314511836016274e-09,1.742233053202684752e-09,3.908747315240467197e-10,3.020065138729351479e-11
3.581554176841209742e-13,5.023556785676124631e-09,1.749797117383357946e-09,3.954987282197366719e-10,3.078921330310131268e-11
3.402181940069672173e-13,5.010831166290810252e-09,1.757305681497719058e-09,4.001382231159747438e-10,3.138471090150523080e-11
3.231907383978341565e-13,4.998137618628427854e-09,1.764758996360530318e-09,4.047930271119113085e-10,3.198716716073863206e-11
3.070260485073303675e-13,4.985476105088725825e-09,1.772157311941803407e-09,4.094629521463109815e-10,3.259660477465265987e-11
2.916796147498003062e-13,4.972846585675274925e-09,1.779500877362331646e-09,4.141478111934470130e-10,3.321304615420484655e-11
2.771092833026743443e-13,4.960249018139089177e-09,1.786789940889522869e-09,4.188474182589355030e-10,3.383651342915465916e-11
2.632751269879260763e-13,4.947683358113957578e-09,1.794024749933866743e-09,4.235615883756789076e-10,3.446702844952834581e-11
2.501393235567404235e-13,4.935149559244014375e-09,1.801205551045564210e-09,4.282901375996949290e-10,3.510461278716016709e-11
2.376660409293600790e-13,4.922647573304004507e-09,1.808332589911671646e-09,4.330328830060756867e-10,3.574928773732985176e-11
2.258213289708627324e-13,4.910177350312672698e-09,1.815406111353477463e-09,4.377896426846464148e-10,3.640107432023456461e-11
2.145730174104286975e-13,4.897738838639717082e-09,1.822426359324241416e-09,4.425602357360332525e-10,3.705999328258018233e-11
2.038906195366338248e-13,4.885331985106653127e-09,1.829393576907278655e-09,4.473444822675223260e-10,3.772606509900121356e-11
1.937452413246319889e-13,4.872956735081990687e-09,1.836308006314231531e-09,4.521422033887381436e-10,3.839930997372392312e-11
1.841094956727934211e-13,4.860613032571020326e-09,1.843169888883707026e-09,4.569532212076346132e-10,3.907974784197478148e-11
1.749574214466660927e-13,4.848300820300555487e-09,1.849979465080102982e-09,4.617773588262869155e-10,3.976739837157840964e-11
1.662644070470258397e-13,4.836020039798922513e-09,1.856736974492658086e-09,4.666144403370257796e-10,4.046228096434906500e-11
1.580071182364687194e-13,4.823770631471459903e-09,1.863442655834803358e-09,4.714642908177880036e-10,4.116441475771918546e-11
1.501634299754728016e-13,4.811552534671808045e-09,1.870096746943660883e-09,4.763267363284474952e-10,4.187381862610358475e-11
1.427123620342833357e-13,4.799365687769230966e-09,1.876699484779742507e-09,4.812016039064721599e-10,4.259051118254223314e-11
1.356340181613489594e-13,4.787210028212185161e-09,1.883251105426858228e-09,4.860887215628384559e-10,4.331451077992944778e-11
1.289095286025158411e-13,4.775085492588368769e-09,1.889751844092204291e-09,4.909879182779708678e-10,4.404583551285948782e-11
1.225209957777449042e-13,4.762992016681452932e-09,1.896201935106579082e-09,4.958990239975413803e-10,4.478450321865724076e-11
1.164514429338962809e-13,4.750929535524666547e-09,1.902601611924798375e-09,5.008218696284150522e-10,4.553053147916498435e-11
1.106847656031139828e-13,4.738897983451445372e-09,1.908951107126244986e-09,5.057562870346431535e-10,4.628393762208344661e-11
1.052056857066555542e-13,4.726897294143275318e-09,1.915250652415552035e-09,5.107021090330043519e-10,4.704473872247179456e-11
9.999970815363710352e-14,4.714927400674928478e-09,1.921500478623397030e-09,5.156591693895068762e-10,4.781295160401207665e-11
9.505307979319160381e-14,4.702988235557209340e-09,1.927700815707444030e-09,5.206273028148810018e-10,4.858859284069896540e-11
9.035275058698804056e-14,4.691079730777364212e-09,1.933851892753447106e-09,5.256063449605459258e-10,4.937167875805622339e-11
8.588633687697157303e-14,4.679201817837284562e-09,1.939953937976333527e-09,5.305961324147938783e-10,5.016222543468387350e-11
8.164208663060467563e-14,4.667354427789627512e-09,1.946007178721521468e-09,5.355965026984979866e-10,5.096024870372079000e-11
7.760884655283897582e-14,4.655537491271969297e-09,1.952011841466262929e-09,5.406072942612163575e-10,5.176576415403685961e-11
7.377603096056378675e-14,4.643750938539099224e-09,1.957968151821094203e-09,5.456283464770483157e-10,5.257878713181908100e-11
7.013359232139120685e-14,4.631994699493564973e-09,1.963876334531415785e-09,5.506594996407342477e-10,5.339933274196454982e-11
6.667199336436799451e-14,4.620268703714557741e-09,1.969736613479042101e-09,5.557005949636310579e-10,5.422741584941470106e-11
6.338218067558536622e-14,4.608572880485228229e-09,1.975549211683916661e-09,5.607514745696030452e-10,5.506305108056480541e-11
6.025555969670436765e-14,4.596907158818539342e-09,1.981314351305922349e-09,5.658119814911928842e-10,5.590625282465431769e-11
5.728397104915471311e-14,4.585271467481696147e-09,1.987032253646660685e-09,5.708819596655177751e-10,5.675703523510557823e-11
5.445966811121358404e-14,4.573665735019281281e-09,1.992703139151376263e-09,5.759612539303597749e-10,5.761541223087989144e-11
5.177529577935214264e-14,4.562089889775124785e-09,1.998327227410861746e-09,5.810497100202811503e-10,5.848139749796164296e-11
4.922387034916235872e-14,4.550543859913001811e-09,2.003904737163556836e-09,5.861471745625254909e-10,5.935500449057220654e-11
4.679876045486559381e-14,4.539027573436205376e-09,2.009435886297497944e-09,5.912534950732698573e-10,6.023624643258251011e-11
4.449366900987711642e-14,4.527540958206077686e-09,2.014920891852516416e-09,5.963685199535623937e-10,6.112513631880949267e-11
4.230261609415420562e-14,4.516083941959527340e-09,2.020359970022337507e-09,6.014920984854962039e-10,6.202168691654682795e-11
4.021992273712767154e-14,4.504656452325616782e-09,2.025753336156791849e-09,6.066240808283100221e-10,6.292591076654819651e-11
3.824019554789601414e-14,4.493258416841245648e-09,2.031101204764067036e-09,6.117643180144546587e-10,6.383782018467338815e-11
3.635831214707896654e-14,4.481889762965989557e-09,2.036403789512953830e-09,6.169126619458202296e-10,6.475742726306906340e-11
3.456940735727556856e-14,4.470550418096146465e-09,2.041661303235172611e-09,6.220689653898517161e-10,6.568474387147955050e-11
3.286886011147951315e-14,4.459240309578022015e-09,2.046873957927701889e-09,6.272330819755777740e-10,6.661978165859657149e-11
3.125228104106285328e-14,4.447959364720491098e-09,2.052041964755152724e-09,6.324048661899921289e-10,6.756255205331492822e-11
2.971550070707413625e-14,4.436707510806894368e-09,2.057165534052165070e-09,6.375841733741513512e-10,6.851306626609872040e-11
2.825455844059865316e-14,4.425484675106281278e-09,2.062244875325814871e-09,6.427708597192469896e-10,6.947133529023164202e-11
2.686569175982280547e-14,4.414290784884051763e-09,2.067280197258117935e-09,6.479647822630188119e-10,7.043736990304244939e-11
2.554532633322267939e-14,4.403125767412017233e-09,2.072271707708402703e-09,6.531657988859477068e-10,7.141118066732339500e-11
2.429006645997833841e-14,4.391989549977923077e-09,2.077219613715919176e-09,6.583737683071979490e-10,7.239277793249743103e-11
2.309668604029449532e-14,4.380882059894445083e-09,2.082124121502226573e-09,6.635885500813593486e-10,7.338217183589250693e-11
2.196212000980289560e-14,4.369803224507704431e-09,2.086985436473851059e-09,6.688100045943274778e-10,7.437937230410534471e-11
2.088345621362592601e-14,4.358752971205315335e-09,2.091803763224694086e-09,6.740379930596948890e-10,7.538438905405887298e-11
1.985792769701053985e-14,4.347731227423995933e-09,2.096579305538690949e-09,6.792723775151067637e-10,7.639723159450756649e-11
1.888290539069030994e-14,4.336737920656763102e-09,2.101312266392348575e-09,6.845130208184573291e-10,7.741790922702180391e-11
1.795589117031707767e-14,4.325772978459731055e-09,2.106002847957332118e-09,6.897597866442711499e-10,7.844643104750667487e-11
1.707451127041585632e-14,4.314836328458536056e-09,2.110651251603031288e-09,6.950125394800427506e-10,7.948280594712705224e-11
1.623651003437100020e-14,4.303927898354407094e-09,2.115257677899246206e-09,7.002711446224524710e-10,8.052704261384753098e-11
1.543974398294238213e-14,4.293047615929908175e-09,2.119822326618689623e-09,7.055354681739914659e-10,8.157914953342565236e-11
1.468217618474993008e-14,4.282195409054353044e-09,2.124345396739724890e-09,7.108053770390030257e-10,8.263913499072367021e-11
1.396187091304872222e-14,4.271371205688921299e-09,2.128827086448911192e-09,7.160807389203369404e-10,8.370700707089574902e-11
1.327698857395525932e-14,4.260574933891489950e-09,2.133267593143683202e-09,7.213614223156244993e-10,8.478277366063461556e-11
1.262578089207324762e-14,4.249806521821194494e-09,2.137667113434983579e-09,7.266472965135686889e-10,8.586644244934980009e-11
1.200658634021595539e-14,4.239065897742735219e-09,2.142025843149909948e-09,7.319382315907032992e-10,8.695802093031860656e-11
1.141782580062583842e-14,4.228352990030427906e-09,2.146343977334362707e-09,7.372340984074604039e-10,8.805751640194822212e-11
1.085799844576050965e-14,4.217667727172043602e-09,2.150621710255701101e-09,7.425347686048468520e-10,8.916493596894470433e-11
1.032567782734289301e-14,4.207010037772410163e-09,2.154859235405408813e-09,7.478401146009209954e-10,9.028028654343555569e-11
9.819508162970206088e-15,4.196379850556821895e-09,2.159056745501751695e-09,7.531500095870567276e-10,9.140357484623678343e-11
9.338200810139166122e-15,4.185777094374230814e-09,2.163214432492426401e-09,7.584643275245873017e-10,9.253480740792624385e-11
8.880530918078317277e-15,4.175201698200284881e-09,2.167332487557229698e-09,7.637829431414823394e-10,9.367399057011357141e-11
8.445334248281280677e-15,4.164653591140150346e-09,2.171411101110731499e-09,7.691057319284458129e-10,9.482113048643472119e-11
8.031504155112308245e-15,4.154132702431200905e-09,2.175450462804919362e-09,7.744325701357996421e-10,9.597623312391189264e-11
7.637988718305650158e-15,4.143638961445511658e-09,2.179450761531892204e-09,7.797633347698816333e-10,9.713930426399607441e-11
7.263788019607790986e-15,4.133172297692245517e-09,2.183412185426454748e-09,7.850979035896359440e-10,9.831034950362176421e-11
6.907951556214405887e-15,4.122732640819848550e-09,2.187334921868869973e-09,7.904361551031819375e-10,9.948937425653949224e-11
